,stageSubmissionTime,launchTime,finishTime,jobId,status,stageId,name,taskId,index,attempt,executorId,duration,sojournTime,waitingTime,taskLocality,executorDeserializeTime,executorRunTime,executorCpuTime,executorDeserializeCpuTime,resultSize,gettingResultTime,jvmGcTime,resultSerializationTime,memoryBytesSpilled,diskBytesSpilled,peakExecutionMemory,bytesRead,recordsRead,readTime,locationExecId,readMethod,cachedBlock,bytesWritten, recordsWritten,shuffleRemoteBlocksFetched,shuffleLocalBlocksFetched,shuffleFetchWaitTime, remoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleLocalBytesRead,shuffleRecordsRead, shuffleBytesWritten,shuffleWriteTime,shuffleRecordsWritten,stageCompletionTime,measuredRunTime
1862,1569563723889,1569563741890,1569563741931,2,-,0,count at DistributedBlocking.scala:90,2173,573,0,46,41.0,21579.0,18001.0,PROCESS_LOCAL,0.0,36.0,34917896.0,896754.0,703,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1861,1569563723889,1569563740128,1569563740162,2,-,0,count at DistributedBlocking.scala:90,1832,232,0,15,34.0,21579.0,16239.0,PROCESS_LOCAL,2.0,28.0,28052910.0,1399450.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1860,1569563723889,1569563740257,1569563740344,2,-,0,count at DistributedBlocking.scala:90,1859,259,0,7,87.0,21579.0,16368.0,PROCESS_LOCAL,2.0,80.0,79566416.0,1654002.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1859,1569563723889,1569563741847,1569563741857,2,-,0,count at DistributedBlocking.scala:90,2164,564,0,42,10.0,21579.0,17958.0,PROCESS_LOCAL,0.0,6.0,4833030.0,788392.0,703,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1858,1569563723889,1569563740077,1569563740142,2,-,0,count at DistributedBlocking.scala:90,1823,223,0,10,65.0,21579.0,16188.0,PROCESS_LOCAL,1.0,58.0,57586074.0,1348405.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1857,1569563723889,1569563740199,1569563740301,2,-,0,count at DistributedBlocking.scala:90,1850,250,0,45,102.0,21579.0,16310.0,PROCESS_LOCAL,2.0,96.0,96396121.0,1254021.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1856,1569563723889,1569563741469,1569563741504,2,-,0,count at DistributedBlocking.scala:90,2092,492,0,35,35.0,21579.0,17580.0,PROCESS_LOCAL,2.0,29.0,29376610.0,886840.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1855,1569563723889,1569563739789,1569563739882,2,-,0,count at DistributedBlocking.scala:90,1751,151,0,46,93.0,21579.0,15900.0,PROCESS_LOCAL,0.0,89.0,87799081.0,957420.0,703,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1854,1569563723889,1569563739737,1569563739838,2,-,0,count at DistributedBlocking.scala:90,1742,142,0,35,101.0,21579.0,15848.0,PROCESS_LOCAL,1.0,95.0,94184272.0,1824457.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1853,1569563723889,1569563741416,1569563741488,2,-,0,count at DistributedBlocking.scala:90,2083,483,0,45,72.0,21579.0,17527.0,PROCESS_LOCAL,0.0,68.0,66876050.0,1127320.0,703,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1852,1569563723889,1569563741380,1569563741394,2,-,0,count at DistributedBlocking.scala:90,2074,474,0,45,14.0,21579.0,17491.0,PROCESS_LOCAL,2.0,8.0,8401629.0,960823.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1851,1569563723889,1569563740345,1569563740447,2,-,0,count at DistributedBlocking.scala:90,1877,277,0,42,102.0,21579.0,16456.0,PROCESS_LOCAL,2.0,95.0,95217240.0,1016325.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1872,1569563723889,1569563740025,1569563740057,2,-,0,count at DistributedBlocking.scala:90,1805,205,0,7,32.0,21579.0,16136.0,PROCESS_LOCAL,2.0,26.0,26249992.0,1059525.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1850,1569563723889,1569563742272,1569563742282,2,-,0,count at DistributedBlocking.scala:90,2251,651,0,33,10.0,21579.0,18383.0,PROCESS_LOCAL,0.0,4.0,2907344.0,1290052.0,703,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1873,1569563723889,1569563741604,1569563741680,2,-,0,count at DistributedBlocking.scala:90,2119,519,0,35,76.0,21579.0,17715.0,PROCESS_LOCAL,0.0,71.0,69479825.0,1134418.0,703,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1875,1569563723889,1569563741802,1569563741824,2,-,0,count at DistributedBlocking.scala:90,2155,555,0,42,22.0,21579.0,17913.0,PROCESS_LOCAL,2.0,15.0,15239322.0,962066.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1896,1569563723889,1569563740309,1569563740551,2,-,0,count at DistributedBlocking.scala:90,1868,268,0,35,242.0,21579.0,16420.0,PROCESS_LOCAL,2.0,236.0,236336587.0,1169176.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1895,1569563723889,1569563739978,1569563740018,2,-,0,count at DistributedBlocking.scala:90,1796,196,0,30,40.0,21579.0,16089.0,PROCESS_LOCAL,0.0,33.0,31890470.0,1072305.0,703,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1894,1569563723889,1569563739945,1569563739975,2,-,0,count at DistributedBlocking.scala:90,1787,187,0,33,30.0,21579.0,16056.0,PROCESS_LOCAL,1.0,23.0,23016112.0,1030667.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1893,1569563723889,1569563739619,1569563739643,2,-,0,count at DistributedBlocking.scala:90,1715,115,0,33,24.0,21579.0,15730.0,PROCESS_LOCAL,2.0,18.0,18010111.0,1469728.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1892,1569563723889,1569563742939,1569563743058,2,-,0,count at DistributedBlocking.scala:90,2388,788,0,34,119.0,21579.0,19050.0,PROCESS_LOCAL,0.0,113.0,111772296.0,1440129.0,703,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1891,1569563723889,1569563741348,1569563741693,2,-,0,count at DistributedBlocking.scala:90,2065,465,0,2,345.0,21579.0,17459.0,PROCESS_LOCAL,2.0,339.0,339075766.0,1110719.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1890,1569563723889,1569563742974,1569563743037,2,-,0,count at DistributedBlocking.scala:90,2397,797,0,47,63.0,21579.0,19085.0,PROCESS_LOCAL,1.0,57.0,56552791.0,974304.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1889,1569563723889,1569563741312,1569563741324,2,-,0,count at DistributedBlocking.scala:90,2056,456,0,46,12.0,21579.0,17423.0,PROCESS_LOCAL,2.0,4.0,4267471.0,1137557.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1888,1569563723889,1569563741968,1569563742217,2,-,0,count at DistributedBlocking.scala:90,2191,591,0,46,249.0,21579.0,18079.0,PROCESS_LOCAL,0.0,244.0,242710101.0,1143963.0,703,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1887,1569563723889,1569563741928,1569563742042,2,-,0,count at DistributedBlocking.scala:90,2182,582,0,10,114.0,21579.0,18039.0,PROCESS_LOCAL,2.0,101.0,100586094.0,2302389.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1886,1569563723889,1569563739914,1569563739927,2,-,0,count at DistributedBlocking.scala:90,1778,178,0,31,13.0,21579.0,16025.0,PROCESS_LOCAL,0.0,9.0,7483377.0,1141113.0,703,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1885,1569563723889,1569563741569,1569563741587,2,-,0,count at DistributedBlocking.scala:90,2110,510,0,10,18.0,21579.0,17680.0,PROCESS_LOCAL,2.0,11.0,10599066.0,1664544.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1884,1569563723889,1569563739881,1569563740000,2,-,0,count at DistributedBlocking.scala:90,1769,169,0,46,119.0,21579.0,15992.0,PROCESS_LOCAL,2.0,111.0,111063056.0,1120342.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1883,1569563723889,1569563739838,1569563740056,2,-,0,count at DistributedBlocking.scala:90,1760,160,0,10,218.0,21579.0,15949.0,PROCESS_LOCAL,2.0,210.0,209667232.0,2027641.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1882,1569563723889,1569563741515,1569563741570,2,-,0,count at DistributedBlocking.scala:90,2101,501,0,42,55.0,21579.0,17626.0,PROCESS_LOCAL,2.0,49.0,49082658.0,1155909.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1881,1569563723889,1569563742683,1569563742697,2,-,0,count at DistributedBlocking.scala:90,2343,743,0,7,14.0,21579.0,18794.0,PROCESS_LOCAL,2.0,7.0,7458659.0,1042903.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1880,1569563723889,1569563741198,1569563741360,2,-,0,count at DistributedBlocking.scala:90,2029,429,0,30,162.0,21579.0,17309.0,PROCESS_LOCAL,1.0,156.0,155465791.0,1357862.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1879,1569563723889,1569563741141,1569563741228,2,-,0,count at DistributedBlocking.scala:90,2020,420,0,47,87.0,21579.0,17252.0,PROCESS_LOCAL,1.0,80.0,80193958.0,814120.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1878,1569563723889,1569563742797,1569563742845,2,-,0,count at DistributedBlocking.scala:90,2361,761,0,30,48.0,21579.0,18908.0,PROCESS_LOCAL,1.0,43.0,42932267.0,735646.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1877,1569563723889,1569563742734,1569563742751,2,-,0,count at DistributedBlocking.scala:90,2352,752,0,15,17.0,21579.0,18845.0,PROCESS_LOCAL,2.0,10.0,10414450.0,1044360.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1876,1569563723889,1569563741645,1569563741718,2,-,0,count at DistributedBlocking.scala:90,2128,528,0,47,73.0,21579.0,17756.0,PROCESS_LOCAL,2.0,66.0,66198650.0,1063897.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1874,1569563723889,1569563740057,1569563740073,2,-,0,count at DistributedBlocking.scala:90,1814,214,0,7,16.0,21579.0,16168.0,PROCESS_LOCAL,2.0,8.0,8501808.0,1008973.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1897,1569563723889,1569563740160,1569563740305,2,-,0,count at DistributedBlocking.scala:90,1841,241,0,42,145.0,21579.0,16271.0,PROCESS_LOCAL,2.0,138.0,138123094.0,1124324.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1849,1569563723889,1569563740514,1569563740603,2,-,0,count at DistributedBlocking.scala:90,1910,310,0,33,89.0,21579.0,16625.0,PROCESS_LOCAL,0.0,83.0,81813996.0,1071515.0,703,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1847,1569563723889,1569563742227,1569563742261,2,-,0,count at DistributedBlocking.scala:90,2242,642,0,18,34.0,21579.0,18338.0,PROCESS_LOCAL,1.0,28.0,27448248.0,994297.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1821,1569563723889,1569563742092,1569563742115,2,-,0,count at DistributedBlocking.scala:90,2215,615,0,42,23.0,21579.0,18203.0,PROCESS_LOCAL,1.0,18.0,17602131.0,920686.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1820,1569563723889,1569563740470,1569563740477,2,-,0,count at DistributedBlocking.scala:90,1901,301,0,18,7.0,21579.0,16581.0,PROCESS_LOCAL,1.0,1.0,434002.0,958195.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1819,1569563723889,1569563740297,1569563740309,2,-,0,count at DistributedBlocking.scala:90,1865,265,0,35,12.0,21579.0,16408.0,PROCESS_LOCAL,2.0,6.0,6209414.0,1075353.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1818,1569563723889,1569563742043,1569563742071,2,-,0,count at DistributedBlocking.scala:90,2206,606,0,35,28.0,21579.0,18154.0,PROCESS_LOCAL,0.0,23.0,21715446.0,1130979.0,703,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1817,1569563723889,1569563739975,1569563740003,2,-,0,count at DistributedBlocking.scala:90,1793,193,0,33,28.0,21579.0,16086.0,PROCESS_LOCAL,0.0,22.0,20700557.0,943607.0,703,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1816,1569563723889,1569563741991,1569563742092,2,-,0,count at DistributedBlocking.scala:90,2197,597,0,42,101.0,21579.0,18102.0,PROCESS_LOCAL,0.0,97.0,95906711.0,927392.0,703,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1815,1569563723889,1569563741685,1569563741778,2,-,0,count at DistributedBlocking.scala:90,2134,534,0,45,93.0,21579.0,17796.0,PROCESS_LOCAL,2.0,86.0,85531261.0,1822048.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1814,1569563723889,1569563741627,1569563741668,2,-,0,count at DistributedBlocking.scala:90,2125,525,0,31,41.0,21579.0,17738.0,PROCESS_LOCAL,2.0,35.0,35119935.0,1301764.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1813,1569563723889,1569563739927,1569563739946,2,-,0,count at DistributedBlocking.scala:90,1784,184,0,31,19.0,21579.0,16038.0,PROCESS_LOCAL,2.0,13.0,12898146.0,1352653.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1812,1569563723889,1569563741790,1569563741873,2,-,0,count at DistributedBlocking.scala:90,2152,552,0,46,83.0,21579.0,17901.0,PROCESS_LOCAL,2.0,76.0,76326277.0,1223441.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1811,1569563723889,1569563741588,1569563741627,2,-,0,count at DistributedBlocking.scala:90,2116,516,0,31,39.0,21579.0,17699.0,PROCESS_LOCAL,2.0,33.0,33216736.0,1087251.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1810,1569563723889,1569563724098,1569563744337,2,-,0,count at DistributedBlocking.scala:90,5,5,0,11,20239.0,21579.0,209.0,PROCESS_LOCAL,20101.0,86.0,85603938.0,968311962.0,789,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1809,1569563723889,1569563740577,1569563740609,2,-,0,count at DistributedBlocking.scala:90,1919,319,0,30,32.0,21579.0,16688.0,PROCESS_LOCAL,1.0,24.0,23265423.0,1834213.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1808,1569563723889,1569563740364,1569563740511,2,-,0,count at DistributedBlocking.scala:90,1880,280,0,15,147.0,21579.0,16475.0,PROCESS_LOCAL,1.0,140.0,138900833.0,1257454.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1807,1569563723889,1569563742071,1569563742084,2,-,0,count at DistributedBlocking.scala:90,2212,612,0,35,13.0,21579.0,18182.0,PROCESS_LOCAL,1.0,6.0,5960164.0,1029967.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1806,1569563723889,1569563740318,1569563740399,2,-,0,count at DistributedBlocking.scala:90,1871,271,0,10,81.0,21579.0,16429.0,PROCESS_LOCAL,1.0,71.0,69863028.0,1941410.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1805,1569563723889,1569563739403,1569563739514,2,-,0,count at DistributedBlocking.scala:90,1665,65,0,2,111.0,21579.0,15514.0,PROCESS_LOCAL,0.0,107.0,105665493.0,996037.0,703,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1804,1569563723889,1569563742183,1569563742253,2,-,0,count at DistributedBlocking.scala:90,2230,630,0,30,70.0,21579.0,18294.0,PROCESS_LOCAL,2.0,61.0,61180189.0,1005837.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1803,1569563723889,1569563740428,1569563740488,2,-,0,count at DistributedBlocking.scala:90,1889,289,0,10,60.0,21579.0,16539.0,PROCESS_LOCAL,2.0,50.0,50027028.0,1621100.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1802,1569563723889,1569563742283,1569563742335,2,-,0,count at DistributedBlocking.scala:90,2257,657,0,7,52.0,21579.0,18394.0,PROCESS_LOCAL,2.0,43.0,43014049.0,1172565.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1801,1569563723889,1569563740566,1569563740780,2,-,0,count at DistributedBlocking.scala:90,1916,316,0,47,214.0,21579.0,16677.0,PROCESS_LOCAL,0.0,205.0,203451229.0,937385.0,703,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1822,1569563723889,1569563741407,1569563741416,2,-,0,count at DistributedBlocking.scala:90,2080,480,0,45,9.0,21579.0,17518.0,PROCESS_LOCAL,1.0,4.0,3942724.0,978230.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1848,1569563723889,1569563740149,1569563740173,2,-,0,count at DistributedBlocking.scala:90,1838,238,0,30,24.0,21579.0,16260.0,PROCESS_LOCAL,1.0,16.0,14811362.0,1606876.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1823,1569563723889,1569563739898,1569563739930,2,-,0,count at DistributedBlocking.scala:90,1775,175,0,15,32.0,21579.0,16009.0,PROCESS_LOCAL,2.0,26.0,26136977.0,1193197.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1825,1569563723889,1569563740660,1569563740724,2,-,0,count at DistributedBlocking.scala:90,1937,337,0,2,64.0,21579.0,16771.0,PROCESS_LOCAL,2.0,56.0,55211796.0,2446130.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1846,1569563723889,1569563740016,1569563740034,2,-,0,count at DistributedBlocking.scala:90,1802,202,0,46,18.0,21579.0,16127.0,PROCESS_LOCAL,2.0,9.0,9481764.0,1076168.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1845,1569563723889,1569563741878,1569563741902,2,-,0,count at DistributedBlocking.scala:90,2170,570,0,2,24.0,21579.0,17989.0,PROCESS_LOCAL,2.0,18.0,18353996.0,952981.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
1844,1569563723889,1569563741755,1569563741781,2,-,0,count at DistributedBlocking.scala:90,2143,543,0,18,26.0,21579.0,17866.0,PROCESS_LOCAL,2.0,19.0,19372672.0,1000557.0,746,0.0,0,0.0,0,0.0,0,0,0,0.0,-1,-1,True,0,0,0,0,0,0,0,0,0,0,0,0,1569563745468.0,0
